id,kod_negeri,kod_dun,dun_desc
2,PL,PL_N1,TITI TINGGI
3,PL,PL_N2,BESERI
4,PL,PL_N3,CHUPING
5,PL,PL_N4,MATA AYER
6,PL,PL_N5,SANTAN
7,PL,PL_N6,BINTONG
8,PL,PL_N7,SENA
9,PL,PL_N8,INDERA KAYANGAN
10,PL,PL_N9,KUALA PERLIS
11,PL,PL_N10,KAYANG
12,PL,PL_N11,PAUH
13,PL,PL_N12,TAMBUN TULANG
14,PL,PL_N13,GUAR SANJI
15,PL,PL_N14,SIMPANG EMPAT
16,PL,PL_N15,SANGLANG
17,KDH,KDH_N1,AYER HANGAT
18,KDH,KDH_N2,KUAH
19,KDH,KDH_N3,KOTA SIPUTEH
20,KDH,KDH_N4,AYER HITAM
21,KDH,KDH_N5,BUKIT KAYU HITAM
22,KDH,KDH_N6,JITRA
23,KDH,KDH_N7,KUALA NERANG
24,KDH,KDH_N8,PEDU
25,KDH,KDH_N9,BUKIT LADA
26,KDH,KDH_N10,BUKIT PINANG
27,KDH,KDH_N11,DERGA
28,KDH,KDH_N12,BAKAR BATA
29,KDH,KDH_N13,KOTA DARUL AMAN
30,KDH,KDH_N14,ALOR MENGKUDU
31,KDH,KDH_N15,ANAK BUKIT
32,KDH,KDH_N16,KUBANG ROTAN
33,KDH,KDH_N17,PENGKALAN KUNDOR
34,KDH,KDH_N18,TOKAI
35,KDH,KDH_N19,SUNGAI TIANG
36,KDH,KDH_N20,SUNGAI LIMAU
37,KDH,KDH_N21,GUAR CHEMPEDAK
38,KDH,KDH_N22,GURUN
39,KDH,KDH_N23,BELANTEK
40,KDH,KDH_N24,JENERI
41,KDH,KDH_N25,BUKIT SELAMBAU
42,KDH,KDH_N26,TANJONG DAWAI
43,KDH,KDH_N27,PANTAI MERDEKA
44,KDH,KDH_N28,BAKAR ARANG
45,KDH,KDH_N29,SIDAM
46,KDH,KDH_N30,BAYU
47,KDH,KDH_N31,KUPANG
48,KDH,KDH_N32,KUALA KETIL
49,KDH,KDH_N33,MERBAU PULAS
50,KDH,KDH_N34,LUNAS
51,KDH,KDH_N35,KULIM
52,KDH,KDH_N36,BANDAR BAHARU
53,KEL,KEL_N1,PENGKALAN KUBOR
54,KEL,KEL_N2,KELABORAN
55,KEL,KEL_N3,PASIR PEKAN
56,KEL,KEL_N4,WAKAF BHARU
57,KEL,KEL_N5,KIJANG
58,KEL,KEL_N6,CHEMPAKA
59,KEL,KEL_N7,PANCHOR
60,KEL,KEL_N8,TANJONG MAS
61,KEL,KEL_N9,KOTA LAMA
62,KEL,KEL_N10,BUNUT PAYONG
63,KEL,KEL_N11,TENDONG
64,KEL,KEL_N12,PENGKALAN PASIR
65,KEL,KEL_N13,CHETOK
66,KEL,KEL_N14,MERANTI
67,KEL,KEL_N15,GUAL PERIOK
68,KEL,KEL_N16,BUKIT TUKU
69,KEL,KEL_N17,SALOR
70,KEL,KEL_N18,PASIR TUMBOH
71,KEL,KEL_N19,DEMIT
72,KEL,KEL_N20,TAWANG
73,KEL,KEL_N21,PERUPOK
74,KEL,KEL_N22,JELAWAT
75,KEL,KEL_N23,MELOR
76,KEL,KEL_N24,KADOK
77,KEL,KEL_N25,KOK LANAS
78,KEL,KEL_N26,BUKIT PANAU
79,KEL,KEL_N27,GUAL IPOH
80,KEL,KEL_N28,KEMAHANG
81,KEL,KEL_N29,SELISING
82,KEL,KEL_N30,LIMBONGAN
83,KEL,KEL_N31,SEMERAK
84,KEL,KEL_N32,GAAL
85,KEL,KEL_N33,PULAI CHONDONG
86,KEL,KEL_N34,TEMANGAN
87,KEL,KEL_N35,KEMUNING
88,KEL,KEL_N36,BUKIT BUNGA
89,KEL,KEL_N37,AIR LANAS
90,KEL,KEL_N38,KUALA BALAH
91,KEL,KEL_N39,MENGKEBANG
92,KEL,KEL_N40,GUCHIL
93,KEL,KEL_N41,MANEK URAI
94,KEL,KEL_N42,DABONG
95,KEL,KEL_N43,NENGGIRI
96,KEL,KEL_N44,PALOH
97,KEL,KEL_N45,GALAS
98,TRG,TRG_N1,KUALA BESUT
99,TRG,TRG_N2,KOTA PUTERA
100,TRG,TRG_N3,JERTIH
101,TRG,TRG_N4,HULU BESUT
102,TRG,TRG_N5,JABI
103,TRG,TRG_N6,PERMAISURI
104,TRG,TRG_N7,LANGKAP
105,TRG,TRG_N8,BATU RAKIT
106,TRG,TRG_N9,TEPUH
107,TRG,TRG_N10,TELUK PASU
108,TRG,TRG_N11,SEBERANG TAKIR
109,TRG,TRG_N12,BUKIT TUNGGAL
110,TRG,TRG_N13,WAKAF MEMPELAM
111,TRG,TRG_N14,BANDAR
112,TRG,TRG_N15,LADANG
113,TRG,TRG_N16,BATU BURUK
114,TRG,TRG_N17,ALUR LIMBAT
115,TRG,TRG_N18,BUKIT PAYUNG
116,TRG,TRG_N19,RU RENDANG
117,TRG,TRG_N20,PENGKALAN BERANGAN
118,TRG,TRG_N21,TELEMUNG
119,TRG,TRG_N22,MANIR
120,TRG,TRG_N23,KUALA BERANG
121,TRG,TRG_N24,AJIL
122,TRG,TRG_N25,BUKIT BESI
123,TRG,TRG_N26,RANTAU ABANG
124,TRG,TRG_N27,SURA
125,TRG,TRG_N28,PAKA
126,TRG,TRG_N29,KEMASIK
127,TRG,TRG_N30,KIJAL
128,TRG,TRG_N31,CUKAI
129,TRG,TRG_N32,AIR PUTIH
130,PP,PP_N1,PENAGA
131,PP,PP_N2,BERTAM
132,PP,PP_N3,PINANG TUNGGAL
133,PP,PP_N4,PERMATANG BERANGAN
134,PP,PP_N5,SUNGAI DUA
135,PP,PP_N6,TELOK AYER TAWAR
136,PP,PP_N7,SUNGAI PUYU
137,PP,PP_N8,BAGAN JERMAL
138,PP,PP_N9,BAGAN DALAM
139,PP,PP_N10,SEBERANG JAYA
140,PP,PP_N11,PERMATANG PASIR
141,PP,PP_N12,PENANTI
142,PP,PP_N13,BERAPIT
143,PP,PP_N14,MACHANG BUBUK
144,PP,PP_N15,PADANG LALANG
145,PP,PP_N16,PERAI
146,PP,PP_N17,BUKIT TENGAH
147,PP,PP_N18,BUKIT TAMBUN
148,PP,PP_N19,JAWI
149,PP,PP_N20,SUNGAI BAKAP
150,PP,PP_N21,SUNGAI ACHEH
151,PP,PP_N22,TANJONG BUNGA
152,PP,PP_N23,AIR PUTIH
153,PP,PP_N24,KEBUN BUNGA
154,PP,PP_N25,PULAU TIKUS
155,PP,PP_N26,PADANG KOTA
156,PP,PP_N27,PENGKALAN KOTA
157,PP,PP_N28,KOMTAR
158,PP,PP_N29,DATOK KERAMAT
159,PP,PP_N30,SUNGAI PINANG
160,PP,PP_N31,BATU LANCANG
161,PP,PP_N32,SERI DELIMA
162,PP,PP_N33,AIR ITAM
163,PP,PP_N34,PAYA TERUBONG
164,PP,PP_N35,BATU UBAN
165,PP,PP_N36,PANTAI JEREJAK
166,PP,PP_N37,BATU MAUNG
167,PP,PP_N38,BAYAN LEPAS
168,PP,PP_N39,PULAU BETONG
169,PP,PP_N40,TELOK BAHANG
170,PRK,PRK_N1,PENGKALAN HULU
171,PRK,PRK_N2,TEMENGOR
172,PRK,PRK_N3,KENERING
173,PRK,PRK_N4,KOTA TAMPAN
174,PRK,PRK_N5,SELAMA
175,PRK,PRK_N6,KUBU GAJAH
176,PRK,PRK_N7,BATU KURAU
177,PRK,PRK_N8,TITI SERONG
