id,negeri,kawasan
1,PL,PADANG BESAR
2,PL,KANGAR
3,PL,ARAU
4,TRG,BESUT
5,TRG,SETIU
6,KEL,KOTA BHARU
7,KEL,PASIR MAS
8,KDH,JERLUN
9,KDH,LANGKAWI
10,KDH,KUBANG PASU
11,KDH,PADANG TERAP
12,KDH,POKOK SENA
13,KDH,ALOR STAR
14,PRK,GERIK
15,PRK,LENGGONG
19,PRK,PARIT BUNTAR
18,PRK,LARUT
20,PRK,BAGAN SERAI
21,PRK,BUKIT GANTANG
22,KDH,KUALA KEDAH
26,PRK,SUNGAI SIPUT
24,PRK,TAIPING
25,PRK,PADANG RENGAS
27,PRK,TAMBUN
32,PRK,BATU GAJAH
29,KDH,PENDANG
30,PRK,IPOH TIMOR
31,PRK,IPOH BARAT
33,PRK,KUALA KANGSAR
34,SWK,MAS GADING
35,SWK,SANTUBONG
37,PRK,BERUAS
38,PRK,PARIT
39,WPP,PUTRAJAYA
56,SWK,BANDAR KUCHING
41,PRK,KAMPAR
42,PRK,GOPENG
43,SWK,PETRA JAYA
68,KDH,SUNGAI PETANI
46,PRK,TAPAH
47,PRK,PASIR SALAK
48,PRK,LUMUT
49,PRK,BAGAN DATOK
50,PRK,TELUK INTAN
51,PRK,TANJONG MALIM
52,KDH,JERAI
53,KDH,SIK
54,MLK,MASJID TANAH
55,MLK,ALOR GAJAH
57,SWK,STAMPIN
58,MLK,TANGGA BATU
65,MLK,KOTA MELAKA
67,KDH,MERBOK
61,SWK,KOTA SAMARAHAN
62,SWK,MAMBONG
221,PP,KEPALA BATAS
64,MLK,BUKIT KATIL
66,MLK,JASIN
69,JHR,SEGAMAT
70,JHR,SEKIJANG
71,JHR,LABIS
72,JHR,PAGOH
73,PHG,CAMERON HIGHLANDS
74,PHG,LIPIS
75,JHR,LEDANG
76,JHR,BAKRI
77,SWK,SERIAN
78,SWK,BATANG SADONG
79,SWK,BATANG LUPAR
80,SWK,SRI AMAN
81,SWK,LUBOK ANTU
82,KDH,BALING
83,KDH,PADANG SERAI
84,PHG,RAUB
85,PHG,JERANTUT
86,JHR,MUAR
87,JHR,PARIT SULONG
88,PHG,INDERA MAHKOTA
89,PHG,KUANTAN
90,JHR,AYER HITAM
91,JHR,SRI GADING
92,PHG,PAYA BESAR
93,PHG,PEKAN
94,JHR,BATU PAHAT
95,JHR,SIMPANG RENGGAM
96,SWK,BETONG 
97,SWK,SARATOK
98,SWK,TANJONG MANIS
99,SWK,IGAN
100,SWK,SARIKEI
101,PHG,MARAN
102,PHG,KUALA KRAU
103,JHR,KLUANG
104,JHR,SEMBRONG
105,JHR,MERSING
106,JHR,TENGGARA
107,PHG,TEMERLOH
108,PHG,BENTONG
109,JHR,KOTA TINGGI
110,JHR,PENGERANG
111,PHG,BERA
112,PHG,ROMPIN
113,KDH,KULIM-BANDAR BAHARU
114,JHR,TEBRAU
115,JHR,PASIR GUDANG
116,JHR,JOHOR BAHRU
117,JHR,PULAI
118,SWK,JULAU
119,SWK,KANOWIT
120,SWK,LANANG
121,SWK,SIBU
122,SWK,MUKAH
123,SWK,SELANGAU
124,SWK,KAPIT
125,SWK,HULU RAJANG
126,SWK,BINTULU
127,SWK,SIBUTI
128,JHR,GELANG PATAH
129,JHR,KULAI
130,SEL,SABAK BERNAM
131,SEL,SUNGAI BESAR
132,JHR,PONTIAN
133,JHR,TANJONG PIAI
134,SEL,HULU SELANGAOR
135,SEL,TANJONG KARANG
136,SWK,MIRI
137,SWK,BARAM
138,SWK,LIMBANG
139,SWK,LAWAS
143,SEL,GOMBAK
141,SEL,KUALA SELANGOR
142,SEL,SELAYANG
144,SEL,AMPANG
145,SEL,PANDAN
146,SEL,HULU LANGAT
147,SEL,SERDANG
148,SEL,PUCHONG
149,SEL,KELANA JAYA
150,SEL,PJ SELATAN
151,KEL,TUMPAT
152,KEL,PENGKALAN CHEPA
